Symbol,Company,Ex-Date,Record Date,Subject,Extracted Amount (Rs),Face Value,ISIN,Series
MINDTECK,Mindteck (India) Limited,06-Aug-2026,06-Aug-2026,Dividend - Re 1 Per Share,1.0,10,INE110B01017,EQ
LUMAXTECH,Lumax Auto Technologies Limited,06-Aug-2026,06-Aug-2026,Dividend - Rs 5.50 Per Share,5.5,2,INE872H01019,EQ
LUMAXIND,Lumax Industries Limited,06-Aug-2026,06-Aug-2026,Dividend - Rs 55 Per Share,55.0,10,INE162B01018,EQ
LINDEINDIA,Linde India Limited,06-Aug-2026,06-Aug-2026,Dividend - Rs 4 Per Share/Special Dividend - 8 Per Share,4.0,10,INE473A01011,EQ
INVPRECQ,Investment & Precision Castings Limited,06-Aug-2026,06-Aug-2026,Dividend - Re 1 Per Sh,1.0,10,INE155E01016,EQ
INFOBEAN,InfoBeans Technologies Limited,06-Aug-2026,06-Aug-2026,Dividend - Re 0.50 Per Share & Special Dividend - Re 0.50 Per Share,1.0,10,INE344S01016,EQ
BLACKROSE,Black Rose Inds. Limited,06-Aug-2026,06-Aug-2026,Interim Dividend - Rs 2 Per Share,2.0,1,INE761G01016,EQ
BHARATGEAR,Bharat Gears Limited,06-Aug-2026,06-Aug-2026,Dividend - Re 1 Per Share,1.0,10,INE561C01019,EQ
RANEHOLDIN,Rane Holdings Limited,06-Aug-2026,06-Aug-2026,Dividend - Rs 47 Per Share,47.0,10,INE384A01010,EQ
PRAJIND,Praj Industries Limited,06-Aug-2026,06-Aug-2026,Dividend - Rs 3.60 Per Share,3.6,2,INE074A01025,EQ
NXST,Nexus Select Trust,06-Aug-2026,06-Aug-2026,Distribution - Rs 2.442 Consisting Of Rs 1.041 As Interest/ Re 0.861 Per Unit As Dividend/ Re 0.003 Per Unit As Other Income/ Re 0.537 Per Unit As Repayment Of Spv Level Debt,4.884,100,INE0NDH25011,RR
TASTYBITE,Tasty Bite Eatables Limited,06-Aug-2026,06-Aug-2026,Dividend - Rs 10 Per Share,10.0,10,INE488B01017,EQ
SHYAMMETL,Shyam Metalics and Energy Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 2.70 Per Share,2.7,10,INE810G01011,EQ
RUBICON,Rubicon Research Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 1.50 Per Share,1.5,1,INE506V01022,EQ
QUESS,Quess Corp Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 3 Per Share,3.0,10,INE615P01015,EQ
STEELCAS,Steelcast Limited,07-Aug-2026,07-Aug-2026,Interim Dividend - Re 0.45 Per Share,0.45,1,INE124E01020,EQ
WESTLIFE,WESTLIFE FOODWORLD LIMITED,07-Aug-2026,07-Aug-2026,Interim Dividend - Re 0.40 Per Share,0.4,2,INE274F01020,EQ
GESHIP,The Great Eastern Shipping Company Limited,07-Aug-2026,07-Aug-2026,Interim Dividend - Rs 14.40 Per Share,14.4,10,INE017A01032,EQ
WONDERLA,Wonderla Holidays Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 2 Per Share,2.0,10,INE066O01014,EQ
MARUTI,Maruti Suzuki India Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 140 Per Share,140.0,5,INE585B01010,EQ
KEC,KEC International Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 5.50 Per Share,5.5,2,INE389H01014,EQ
ARVINDFASN,Arvind Fashions Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 1.60 Per Share,1.6,4,INE955V01021,EQ
MANBA,Manba Finance Limited,07-Aug-2026,07-Aug-2026,Interim Dividend - Re 0.25 Per Share,0.25,10,INE939X01013,EQ
MUKANDLTD,Mukand Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 2 Per Share & Special Dividend Re 1 Per Share,3.0,10,INE304A01026,EQ
CHENNPETRO,Chennai Petroleum Corporation Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 54 Per Share,54.0,10,INE178A01016,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 1.30 Per Share,1.3,1,INE149A01033,EQ
IDFCFIRSTB,IDFC First Bank Limited,07-Aug-2026,07-Aug-2026,Dividend - Re 0.25 Per Share,0.25,10,INE092T01019,EQ
AVANTIFEED,Avanti Feeds Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 10 Per Share,10.0,1,INE871C01012,EQ
GRASIM,Grasim Industries Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 10 Per Share,10.0,2,INE047A01013,EQ
IPCALAB,IPCA Laboratories Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 6 Per Share,6.0,1,INE571A01020,EQ
AARVI,Aarvi Encon Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 2 Per Share,2.0,10,INE754X01016,EQ
ABB,ABB India Limited,07-Aug-2026,07-Aug-2026,Special Dividend - Rs 90 Per Share,90.0,2,INE117A01022,EQ
JAYAGROGN,Jayant Agro Organics Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 3.50 Per Share,3.5,5,INE785A01026,EQ
LODHA,Lodha Developers Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 4.25 Per Share,4.25,10,INE670K01029,EQ
VARROC,Varroc Engineering Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 1.50 Per Share,1.5,1,INE665L01035,EQ
PIIND,PI Industries Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 10 Per Share,10.0,1,INE603J01014,EQ
ALKEM,Alkem Laboratories Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 10 Per Share,10.0,2,INE540L01014,EQ
UBL,United Breweries Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 10 Per Share,10.0,1,INE686F01025,EQ
SHARDACROP,Sharda Cropchem Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 9 Per Share,9.0,10,INE221J01015,EQ
JTEKTINDIA,Jtekt India Limited,07-Aug-2026,07-Aug-2026,Dividend - Re 0.75 Per Share,0.75,1,INE643A01035,EQ
NETWEB,Netweb Technologies India Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 3 Per Share,3.0,2,INE0NT901020,EQ
NAVA,NAVA LIMITED,07-Aug-2026,07-Aug-2026,Dividend - Rs 5.50 Per Share,5.5,1,INE725A01022,EQ
TIINDIA,Tube Investments of India Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 1.50  Per Share,1.5,1,INE974X01010,EQ
ABLBL,Aditya Birla Lifestyle Brands Limited,07-Aug-2026,07-Aug-2026,Dividend - Re 0.50 Per Share,0.5,10,INE14LE01019,EQ
SAHYADRI,Sahyadri Industries Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 1.50 Per Share,1.5,10,INE280H01015,EQ
SAGILITY,SAGILITY LIMITED,07-Aug-2026,07-Aug-2026,Dividend - Re 0.10 Per Share,0.1,10,INE0W2G01015,EQ
VENUSREM,Venus Remedies Limited,07-Aug-2026,07-Aug-2026,Dividend - Rs 10 Per Share,10.0,10,INE411B01019,EQ
RITES,RITES Limited,10-Aug-2026,10-Aug-2026,Interim Dividend - Rs 1.40 Per Share,1.4,10,INE320J01015,EQ
PTC,PTC India Limited,10-Aug-2026,10-Aug-2026,Interim Dividend - Rs 23 Per Share,23.0,10,INE877F01012,EQ
STYRENIX,Styrenix Performance Materials Limited,10-Aug-2026,10-Aug-2026,Interim Dividend - Rs 23 Per Share,23.0,10,INE189B01011,EQ
CMPDI,Central Mine Planning & Design Institute Limited,10-Aug-2026,10-Aug-2026,Dividend - Rs 1.06 Per Share,1.06,2,INE05HV01027,EQ
INDUSTOWER,Indus Towers Limited,10-Aug-2026,10-Aug-2026,Dividend - Rs 14 Per Share,14.0,10,INE121J01017,EQ
JIOFIN,Jio Financial Services Limited,10-Aug-2026,10-Aug-2026,Dividend - Rs 0.60 Per Share,0.6,10,INE758E01017,EQ
CASTROLIND,Castrol India Limited,11-Aug-2026,11-Aug-2026,Interim Dividend - Rs 6.25 Per Share,6.25,5,INE172A01027,EQ
GLAND,Gland Pharma Limited,11-Aug-2026,11-Aug-2026,Dividend - Rs 20 Per Sh,20.0,1,INE068V01023,EQ
RATNAMANI,Ratnamani Metals & Tubes Limited,11-Aug-2026,11-Aug-2026,Dividend - Rs 10 Per Share,10.0,2,INE703B01027,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,11-Aug-2026,11-Aug-2026,Dividend - Rs 6 Per Share,6.0,10,INE085A01013,EQ
SYMPHONY,Symphony Limited,11-Aug-2026,11-Aug-2026,Interim Dividend - Re 1  Per Share,1.0,2,INE225D01019,EQ
SUDARSCHEM,Sudarshan Chemical Industries Limited,11-Aug-2026,11-Aug-2026,Dividend - Rs 5 Per Share,5.0,2,INE659A01015,EQ
GATEWAY,Gateway Distriparks Limited,11-Aug-2026,11-Aug-2026,Interim Dividend - Rs 1.25 Per Share,1.25,10,INE079J01017,EQ
GODFRYPHLP,Godfrey Phillips India Limited,11-Aug-2026,11-Aug-2026,Dividend - Rs 33 Per Sh,33.0,2,INE260B01010,EQ
KIRLOSIND,Kirloskar Industries Limited,11-Aug-2026,11-Aug-2026,Dividend - Rs 13 Per Share,13.0,10,INE250A01039,EQ
VAIBHAVGBL,Vaibhav Global Limited,12-Aug-2026,12-Aug-2026,Interim Dividend - Rs 1.50 Per Share,1.5,2,INE884A01019,EQ
HGINFRA,H.G. Infra Engineering Limited,12-Aug-2026,12-Aug-2026,Dividend - Rs 2 Per Share,2.0,10,INE926X01010,EQ
NHPC,NHPC Limited,12-Aug-2026,12-Aug-2026,Dividend - Re 0.21 Per Sh,0.21,10,INE848E01016,EQ
CAMS,Computer Age Management Services Limited,12-Aug-2026,12-Aug-2026,Interim Dividend - Rs 2.50 Per Share,2.5,2,INE596I01012,EQ
RAMCOCEM,The Ramco Cements Limited,13-Aug-2026,13-Aug-2026,Dividend - Rs 2.50 Per Share,2.5,1,INE331A01037,EQ
USHAMART,Usha Martin Limited,13-Aug-2026,13-Aug-2026,Dividend - Rs 3.75 Per Share,3.75,1,INE228A01035,EQ
MINDACORP,Minda Corporation Limited,14-Aug-2026,14-Aug-2026,Dividend - Re 0.80 Per Share,0.8,2,INE842C01013,EQ
SURYALA,Suryalata Spinning Mills Limited,14-Aug-2026,14-Aug-2026,Dividend - Rs 2 Per Share,2.0,10,INE132C01027,EQ
MANGLMCEM,Mangalam Cement Limited,14-Aug-2026,14-Aug-2026,Dividend - Rs 1.50 Per Share,1.5,10,INE347A01017,EQ
NCC,NCC Limited,14-Aug-2026,14-Aug-2026,Dividend - Rs 2.20 Per Share,2.2,2,INE868B01028,EQ
GPIL,Godawari Power And Ispat limited,14-Aug-2026,14-Aug-2026,Dividend - Re 1 Per Share,1.0,1,INE177H01013,EQ
HINDPETRO,Hindustan Petroleum Corporation Limited,14-Aug-2026,14-Aug-2026,Dividend - Rs 19.25 Per Share,19.25,10,INE094A01015,EQ
BANDHANBNK,Bandhan Bank Limited,17-Aug-2026,17-Aug-2026,Dividend - Rs 1.50 Per Share,1.5,10,INE545U01014,EQ
